epoch,accuracy,loss,val_accuracy,val_loss
0,0.3556601,1.3327336524155144,0.38616713881492615,1.29180312122323
1,0.645447,1.0013975140760059,0.680115282535553,0.9340595917330695
2,0.7940769,0.587701704754184,0.7089337110519409,0.7887606218843708
3,0.85275394,0.4076269913290532,0.6829971075057983,0.8044178977136309
4,0.88541377,0.3218425124875403,0.6829971075057983,0.8336072634551298
5,0.9117077,0.2598373128656466,0.6945244669914246,0.8970846315625766
6,0.93329644,0.21054402246159792,0.6829971075057983,0.9305815140177263
7,0.94187653,0.17871340726745316,0.6743515729904175,1.0133186705861381
8,0.9523941,0.1528362845272494,0.6657060384750366,1.097409192011061
9,0.9604207,0.13140004489301743,0.6887608170509338,1.1399306721920925
10,0.9642956,0.11909927684095076,0.6772334575653076,1.145181230578024
11,0.9687241,0.10526604717816469,0.6829971075057983,1.2304538368148144
12,0.9714918,0.0943346932229328,0.6714697480201721,1.2607977898732385
13,0.97204536,0.08960480314524524,0.6657060384750366,1.3195631813247197
14,0.97342926,0.08839906181819446,0.6772334575653076,1.3466786795459496
15,0.97481316,0.08099219067717668,0.6657060384750366,1.401749806720173
16,0.97647387,0.07520871716217671,0.6829971075057983,1.4565265199292978
17,0.97481316,0.0724566837830983,0.6858789920806885,1.3971623831592308
18,0.9781345,0.06876403753228905,0.6974063515663147,1.457342106602034
19,0.9781345,0.06818294688881912,0.6887608170509338,1.4451094189019986
20,0.9781345,0.06079525850948339,0.6714697480201721,1.4985791530664099
21,0.9784113,0.05956511687381163,0.6858789920806885,1.545558299386192
22,0.9792416,0.06302036000469814,0.6714697480201721,1.5231703962991148
23,0.9795184,0.056286551541868686,0.6743515729904175,1.582324317965109
24,0.9792416,0.058646723285725726,0.680115282535553,1.5687052557722636
