epoch,accuracy,loss,val_accuracy,val_loss
0,0.47910324,1.1907778830532219,0.5994236469268799,1.0419518580010714
1,0.8021035,0.5852239700423493,0.6080691814422607,1.0519089056366802
2,0.9366178,0.24140295489422345,0.5878962278366089,1.2915179550819507
3,0.96955436,0.13381434249112456,0.5734870433807373,1.4246540622683699
4,0.9781345,0.10248909250557538,0.6051872968673706,1.4686055389536217
5,0.98007196,0.07933261868467366,0.5648415088653564,1.5968882738685057
6,0.9806255,0.06660171284129209,0.5648415088653564,1.6329891853442453
7,0.98034877,0.055159946058616724,0.5706051588058472,1.6900445978648382
8,0.9809023,0.04830317208381025,0.5677233338356018,1.7666902981848813
9,0.9820094,0.041847217286718606,0.5677233338356018,1.8115785036032068
10,0.9806255,0.037233582528969474,0.5706051588058472,1.9057634646336008
11,0.9809023,0.03397322606659834,0.5648415088653564,2.013226162116191
12,0.98145586,0.03176657848396263,0.5619596838951111,1.980017193112662
13,0.98145586,0.0292942480763089,0.5763688683509827,2.011390752682425
14,0.9831165,0.026751738745995523,0.5561959743499756,2.055870514781743
15,0.9817326,0.026580131183789026,0.5677233338356018,2.141749390264066
16,0.98117906,0.027634039787558073,0.5533141493797302,2.0768664999722746
17,0.97979516,0.02453408045129716,0.5706051588058472,2.1758963694146454
18,0.9806255,0.024668683106924667,0.5677233338356018,2.1516696984211374
19,0.9831165,0.025302367780327698,0.5619596838951111,2.1496487055456948
20,0.9809023,0.02431816532327287,0.5648415088653564,2.2268837934268655
21,0.9809023,0.022806122420215708,0.5619596838951111,2.24311263829212
22,0.98256296,0.024472903994363398,0.5619596838951111,2.258744546934232
23,0.9845004,0.023044155117517676,0.5561959743499756,2.2865032270250127
24,0.98367006,0.0283118223546162,0.5561959743499756,2.265662332089559
